month,yr,casual,registered,cnt,month_yr
3,2011,3545,16438,19983,3-2011
4,2011,21112,68235,89347,4-2011
5,2011,27966,95673,123639,5-2011
6,2011,21314,78769,100083,6-2011
7,2011,10652,38454,49106,7-2011
8,2011,16941,70674,87615,8-2011
9,2011,18126,69410,87536,9-2011
3,2012,12924,47641,60565,3-2012
4,2012,36942,130376,167318,4-2012
5,2012,37221,138128,175349,5-2012
6,2012,26455,106450,132905,6-2012
7,2012,13747,64050,77797,7-2012
8,2012,19844,97129,116973,8-2012
9,2012,26474,108705,135179,9-2012
